Brand,Weekly use,At least 3 days per week,MediaCloud Source IDs,Domains
NDTV online,28.0,17.0,17973,ndtv.com
India.com,25.0,12.0,271589,india.com
BBC News online,23.0,14.0,932549,bbc.com
The Times of India online,21.0,14.0,39784,timesofindia.indiatimes.com
India Today online,19.0,12.0,282871,indiatoday.in
Hindustan Times online,19.0,12.0,20258,hindustantimes.com
Republic TV online,18.0,11.0,561011,republicworld.com
Times Now News online,16.0,8.0,537358,timesnownews.com
The Hindu online,15.0,9.0,22331,thehindu.com
CNN.com,14.0,8.0,1095,cnn.com
The Print,14.0,6.0,570336,theprint.in
The Indian Express online,13.0,7.0,56899,indianexpress.com
The Economic Times online,11.0,6.0,41238,economictimes.indiatimes.com
Rediff News,11.0,,41643,rediff.com
Firstpost,10.0,,1318042,firstpost.com
The News Minute,10.0,,258176,thenewsminute.com
The Quint,10.0,,282811,thequint.com
The Wire,9.0,,278493,thewire.in
OpIndia,,,282927,opindia.com
DNA,,,65929,dnaindia.com
The Telegraph,,,55376,telegraphindia.com
